Indonesia,Jakarta,-6.2118,106.8416,10516927,Capital
Kiribati,Tarawa,1.3272,172.9813,64011,Capital
Marshall Islands,Majuro,7.0897,171.3803,30661,Capital
New Zealand,Wellington,-41.2866,174.7756,411346,Capital
Russian Federation,Moskva (Moscow),55.7550,37.6218,12409738,Capital
Saint Vincent and the Grenadines,Kingstown,13.1587,-61.2248,26636,Capital
Samoa,Apia,-13.8333,-171.7667,36066,Capital
San Marino,San Marino,43.9333,12.4500,4465,Capital
Sao Tome and Principe,São Tomé,0.3365,6.7273,80099,Capital
Saudi Arabia,Ar-Riyadh (Riyadh),24.6905,46.7096,6906595,Capital
Senegal,Dakar,14.6937,-17.4441,2978419,Capital
Serbia,Beograd (Belgrade),44.8176,20.4633,1389351,Capital
Seychelles,Victoria,-4.6167,55.4500,28091,Capital
Sierra Leone,Freetown,8.4840,-13.2299,1135949,Capital
Singapore,Singapore,1.2897,103.8501,5791901,Capital
Sint Maarten (Dutch part),Philipsburg,18.0260,-63.0458,40552,Capital
Slovakia,Bratislava,48.1482,17.1067,429920,Capital
Slovenia,Ljubljana,46.0511,14.5051,286491,Capital
Solomon Islands,Honiara,-9.4333,159.9500,81801,Capital
Somalia,Muqdisho (Mogadishu),2.0416,45.3435,2081624,Capital
South Africa,Cape Town,-33.9258,18.4232,4430367,Legislative Capital
South Sudan,Juba,4.8517,31.5825,368914,Capital
Spain,Madrid,40.4165,-3.7026,6497124,Capital
Sri Lanka,Colombo,6.9319,79.8478,599821,Capital
State of Palestine,Al-Quds[East Jerusalem],31.7834,35.2339,275086,Capital
Sudan,Al-Khartum (Khartoum),15.5518,32.5324,5534079,Capital
Suriname,Paramaribo,5.8664,-55.1668,239457,Capital
Swaziland,Mbabane,-26.3167,31.1333,68010,Capital
Sweden,Stockholm,59.3326,18.0649,1582968,Capital
Switzerland,Bern,46.9481,7.4474,422153,Capital
Syrian Arab Republic,Dimashq (Damascus),33.5086,36.3084,2319545,Capital
Tajikistan,Dushanbe,38.5358,68.7791,872653,Capital
TFYR Macedonia,Skopje,42.0000,21.4333,584208,Capital
Thailand,Krung Thep (Bangkok),13.7220,100.5252,10156316,Capital
Timor-Leste,Dili,-8.5601,125.5668,281135,Capital
Togo,Lomé,6.1375,1.2123,1745744,Capital
Tokelau,Tokelau,-9.3800,-171.2500,0,Others
Tonga,Nuku'alofa,-21.1394,-175.2032,22904,Capital
Trinidad and Tobago,Port of Spain,10.6662,-61.5166,544417,Capital
Tunisia,Tunis,36.8190,10.1658,2290777,Capital
Turkey,Ankara,39.9199,32.8543,4919074,Capital
Turkmenistan,Ashgabat,37.9500,58.3833,810186,Capital
Turks and Caicos Islands,Cockburn Town,21.4612,-71.1419,5447,Capital
Tuvalu,Funafuti,-8.5189,179.1991,7042,Capital
Uganda,Kampala,0.3163,32.5822,2986352,Capital
Ukraine,Kyiv (Kiev),50.4454,30.5186,2956706,Capital
United Arab Emirates,Abu Zaby (Abu Dhabi),24.4648,54.3618,1419699,Capital
United Kingdom,London,51.5085,-0.1257,9046485,Capital
United Republic of Tanzania,Dodoma,-6.1722,35.7395,261645,Capital
United States of America,"Washington D.C.",38.8951,-77.0364,5206593,Capital
United States Virgin Islands,Charlotte Amalie,18.3419,-64.9307,52322,Capital
Uruguay,Montevideo,-34.8335,-56.1674,1736989,Capital
Uzbekistan,Tashkent,41.2647,69.2163,2463969,Capital
Vanuatu,Port Vila,-17.7338,168.3219,52690,Capital
Venezuela (Bolivarian Republic of),Caracas,10.4880,-66.8792,2934560,Capital
Viet Nam,Hà Noi,21.0245,105.8412,4282738,Capital
Wallis and Futuna Islands,Matu-Utu,-13.2816,-176.1745,1025,Capital
Western Sahara,El Aaiún,27.1532,-13.2014,232388,Capital
Yemen,Sana'a',15.3531,44.2078,2779317,Capital
Zambia,Lusaka,-15.4134,28.2771,2523844,Capital
Zimbabwe,Harare,-17.8294,31.0539,1515016,Capital